script,align,style,size,color,type
SICV와 나는 금방 마지막 서명을 획득할 수 있었다.,c,n,17,w,n
[ W3W ],c,b,19,b,n
이게 뭐죠?,r,i,17,g,s
우리가 찾은 3개의 단어를 활용할 방법이겠군.,l,i,17,g,s
나는 잠시 생각에 잠겼다.,c,n,17,w,n
잠시만요. 저 단어를 어디선가 본 적이 있는 것 같아요.,r,i,17,g,s
3개의 단어. [보충] [설계] [사귄다],c,b,19,b,n
그리고 이 단어를 활용할 [W3W],c,b,19,b,n
내가 찾아야 할 곳은 장소...,c,b,19,b,n
아하. 이 장소는….!,r,i,17,g,s
What 3 Words. 하나의 장소를 세가지의 단어로 표현한 체계예요!,r,i,17,w,s
"카카오맵에서 ""///단어.단어.단어"" 로 검색하면 한 장소를 알아낼 수 있겠군!",l,i,17,w,s
그렇게 찾은 장소의 초성으로 숫자를 알아낼 수 있을 거예요!,r,i,17,w,s
저희 게임 Plurry를 체험해주셔서 감사합니다!,c,n,16,g,n
4개의 단서를 통해 하나의 장소를 찾아 SICV에게 알려주세요!,c,n,16,g,n
빨간 보물상자의 자물쇠를 풀면 경품을 받을 수 있습니다!,c,n,16,g,n
